# S&P/ASX 200 Accumulation Index: total return (capital + dividends reinvested) by financial year (1 July Y-1 to 30 June Y).
# Source: NetActuary.com.au, ASX200 Accumulation Index (AXJOA). https://netactuary.com.au/Reference/ET7ASX200.aspx
# financial_year,asx_total_return_pct
1981,15.77
1982,-29.06
1983,34.72
1984,13.48
1985,36.51
1986,42.48
1987,54.02
1988,-8.61
1989,3.53
1990,4.08
1991,5.87
1992,13.33
1993,9.91
1994,18.47
1995,5.71
1996,15.83
1997,26.56
1998,1.65
1999,15.34
2000,15.51
2001,9.07
2002,-4.69
2003,-1.71
2004,21.61
2005,26.35
2006,23.93
2007,28.66
2008,-13.41
2009,-20.14
2010,13.14
2011,11.73
2012,-6.71
2013,22.75
2014,17.44
2015,5.68
2016,0.56
2017,14.09
2018,13.01
2019,11.55
2020,-7.68
2021,27.80
2022,-6.87
2023,15.96
